date,hour,temperature_c
2025-12-11,0,16.1
2025-12-11,1,15.549999999999999
2025-12-11,2,15.2
2025-12-11,3,14.700000000000001
2025-12-11,4,14.2
2025-12-11,5,14.0
2025-12-11,6,13.899999999999999
2025-12-11,7,14.9
2025-12-11,8,18.55
2025-12-11,9,22.1
2025-12-11,10,24.35
2025-12-11,11,26.1
2025-12-11,12,27.15
2025-12-11,13,27.8
2025-12-11,14,27.9
2025-12-11,15,27.5
2025-12-11,16,26.450000000000003
2025-12-11,17,23.700000000000003
2025-12-11,18,20.95
2025-12-11,19,19.45
2025-12-11,20,18.15
2025-12-11,21,17.3
2025-12-11,22,16.5
2025-12-11,23,15.6
