time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,17.4,46,4.3,2025-12-11,0,mild,16.479999999999997
2025-12-11 01:00:00,16.9,44,4.6,2025-12-11,1,mild,16.02
2025-12-11 02:00:00,16.7,42,5.1,2025-12-11,2,mild,15.86
2025-12-11 03:00:00,16.1,44,5.4,2025-12-11,3,mild,15.22
2025-12-11 04:00:00,15.5,47,5.6,2025-12-11,4,mild,14.56
2025-12-11 05:00:00,15.5,50,4.8,2025-12-11,5,mild,14.5
2025-12-11 06:00:00,15.6,49,5.4,2025-12-11,6,mild,14.62
2025-12-11 07:00:00,16.5,51,5.3,2025-12-11,7,mild,15.48
2025-12-11 08:00:00,19.6,51,4.8,2025-12-11,8,mild,18.580000000000002
2025-12-11 09:00:00,22.6,39,8.7,2025-12-11,9,warm,21.82
2025-12-11 10:00:00,24.4,34,12.1,2025-12-11,10,warm,23.72
2025-12-11 11:00:00,26.1,29,13.7,2025-12-11,11,warm,25.520000000000003
2025-12-11 12:00:00,27.0,28,12.7,2025-12-11,12,warm,26.44
2025-12-11 13:00:00,27.6,26,11.5,2025-12-11,13,warm,27.080000000000002
2025-12-11 14:00:00,27.7,27,10.7,2025-12-11,14,warm,27.16
2025-12-11 15:00:00,27.3,25,9.7,2025-12-11,15,warm,26.8
2025-12-11 16:00:00,26.3,26,8.8,2025-12-11,16,warm,25.78
2025-12-11 17:00:00,23.8,32,4.9,2025-12-11,17,warm,23.16
2025-12-11 18:00:00,21.4,38,3.9,2025-12-11,18,warm,20.639999999999997
2025-12-11 19:00:00,20.4,38,3.9,2025-12-11,19,warm,19.639999999999997
2025-12-11 20:00:00,19.3,39,4.0,2025-12-11,20,mild,18.52
2025-12-11 21:00:00,18.5,41,4.0,2025-12-11,21,mild,17.68
2025-12-11 22:00:00,17.8,43,4.0,2025-12-11,22,mild,16.94
2025-12-11 23:00:00,17.0,46,4.3,2025-12-11,23,mild,16.08
